600;Carrier;3
601;NAS;5
602;LateAircraft;14
603;NAS;66
604;LateAircraft;1
605;NAS;67
606;LateAircraft;29
607;Weather;4
608;LateAircraft;44
609;NAS;15
610;LateAircraft;80
611;NAS;18
612;Carrier;15
613;NAS;3
614;NAS;8
615;LateAircraft;32
616;NAS;16
617;Carrier;28
618;NAS;15
619;LateAircraft;10
620;Carrier;128
621;NAS;8
622;NAS;23
623;Carrier;84
624;LateAircraft;1
625;Carrier;10
626;NAS;5
627;LateAircraft;7
628;NAS;32
629;NAS;18
630;NAS;17
631;Carrier;187
632;LateAircraft;59
633;Carrier;18
634;Carrier;95
635;LateAircraft;14
636;Carrier;334
637;NAS;6
638;LateAircraft;25
639;NAS;18
641;Carrier;43
642;NAS;2
643;LateAircraft;8
644;Carrier;8
645;LateAircraft;11
646;LateAircraft;27
647;LateAircraft;139
648;Carrier;14
649;LateAircraft;118
650;Carrier;3
651;LateAircraft;52
652;Carrier;126
653;LateAircraft;16
654;Carrier;14
655;NAS;1
656;Carrier;2
657;LateAircraft;60
658;Carrier;88
659;NAS;77
660;NAS;31
661;NAS;24
662;NAS;20
663;LateAircraft;134
664;NAS;17
665;Carrier;39
666;NAS;23
667;Carrier;16
668;NAS;8
669;NAS;101
670;NAS;75
671;LateAircraft;25
672;Carrier;70
673;Carrier;12
674;NAS;5
675;LateAircraft;10
676;Carrier;7
677;LateAircraft;18
678;NAS;79
679;NAS;85
680;Weather;9
681;LateAircraft;59
682;NAS;4
683;LateAircraft;53
684;NAS;26
685;NAS;34
686;NAS;23
687;Carrier;7
688;LateAircraft;10
689;Carrier;18
690;Carrier;2
691;NAS;12
692;LateAircraft;18
693;Carrier;28
694;NAS;1
695;NAS;7
696;LateAircraft;25
697;Carrier;2
698;NAS;5
699;LateAircraft;19
700;Carrier;14
701;NAS;3
702;Carrier;6
703;LateAircraft;16
704;Carrier;2
705;NAS;5
706;LateAircraft;30
707;NAS;68
708;LateAircraft;7
709;NAS;90
710;NAS;16
711;Weather;27
712;Carrier;28
713;NAS;4
714;LateAircraft;23
715;Carrier;35
716;NAS;6
717;Carrier;67
718;NAS;5
719;NAS;27
720;Carrier;8
721;NAS;3
722;LateAircraft;12
723;NAS;37
724;NAS;15
725;Carrier;12
726;NAS;11
727;NAS;26
728;LateAircraft;3
729;NAS;29
730;Carrier;76
731;LateAircraft;20
732;NAS;2
733;LateAircraft;18
734;Carrier;8
735;LateAircraft;70
736;NAS;29
737;NAS;119
738;LateAircraft;2
739;NAS;116
740;Carrier;224
741;NAS;2
742;LateAircraft;73
743;NAS;18
744;NAS;1
745;LateAircraft;50
746;NAS;16
747;Carrier;12
748;NAS;5
749;Carrier;18
750;NAS;2
751;Carrier;32
752;LateAircraft;30
753;Carrier;26
754;Carrier;46
755;NAS;4
756;NAS;17
757;NAS;17
758;NAS;15
759;NAS;22
760;Carrier;21
761;Carrier;10
762;NAS;30
763;LateAircraft;12
764;Carrier;5
765;NAS;7
766;LateAircraft;11
767;Carrier;49
768;NAS;9
769;Carrier;67
770;NAS;1
771;Carrier;133
772;NAS;9
773;LateAircraft;2
774;NAS;5
775;LateAircraft;70
777;Carrier;6
778;LateAircraft;31
779;Carrier;12
780;NAS;7
781;Carrier;15
782;Carrier;21
783;NAS;7
784;NAS;24
785;Carrier;7
786;LateAircraft;20
787;NAS;114
788;NAS;67
789;Carrier;3
790;LateAircraft;14
791;NAS;53
792;NAS;67
793;Carrier;27
794;NAS;16
795;NAS;1
796;LateAircraft;22
797;LateAircraft;26
798;NAS;29
799;Carrier;1
800;LateAircraft;18
801;Carrier;20
802;Carrier;25
804;Carrier;10
805;NAS;16
806;Carrier;19
807;NAS;120
808;NAS;80
809;LateAircraft;86
810;LateAircraft;51
811;Carrier;12
812;NAS;31
813;NAS;16
814;Carrier;46
815;NAS;101
816;NAS;26
817;Carrier;98
818;Carrier;37
819;NAS;20
821;NAS;66
822;NAS;101
823;Carrier;96
824;NAS;7
825;LateAircraft;17
826;Carrier;4
827;LateAircraft;11
828;Carrier;2
829;NAS;17
830;LateAircraft;12
831;Carrier;13
832;LateAircraft;21
833;Carrier;19
834;Carrier;46
835;NAS;8
836;Weather;18
837;LateAircraft;9
838;NAS;84
839;NAS;54
840;NAS;33
841;Carrier;38
842;NAS;53
843;NAS;22
844;Carrier;18
845;Carrier;21
846;Carrier;892
847;NAS;37
848;LateAircraft;5
849;Carrier;21
850;LateAircraft;64
851;Carrier;82
852;Carrier;41
853;Carrier;95
854;NAS;22
855;NAS;27
856;Carrier;19
858;NAS;17
859;NAS;21
860;Carrier;9
861;LateAircraft;118
862;Weather;8
863;LateAircraft;121
864;NAS;23
865;Weather;22
866;LateAircraft;57
867;NAS;11
868;LateAircraft;58
869;Carrier;21
870;LateAircraft;23
871;Carrier;62
872;NAS;23
873;Carrier;18
874;NAS;2
876;NAS;37
877;LateAircraft;110
878;NAS;16
879;NAS;19
880;Carrier;4
881;NAS;9
882;LateAircraft;4
883;NAS;18
884;Carrier;10
885;LateAircraft;45
886;NAS;40
887;NAS;78
888;Carrier;30
889;NAS;21
890;Carrier;11
891;NAS;8
892;Carrier;24
893;NAS;9
894;Carrier;15
895;NAS;9
896;Carrier;61
897;NAS;9
898;LateAircraft;7
899;NAS;40
900;LateAircraft;63
901;NAS;74
902;LateAircraft;19
903;NAS;74
904;LateAircraft;14
905;LateAircraft;56
906;NAS;2
907;LateAircraft;73
910;NAS;47
911;NAS;24
912;Carrier;6
913;LateAircraft;25
914;Carrier;21
915;Carrier;21
916;NAS;30
917;NAS;112
918;LateAircraft;12
919;NAS;102
920;LateAircraft;5
921;Weather;4
922;NAS;12
923;LateAircraft;114
924;NAS;5
925;LateAircraft;88
926;Carrier;6
927;NAS;9
928;NAS;25
929;NAS;27
930;LateAircraft;23
931;Carrier;17
932;NAS;5
933;NAS;98
934;NAS;34
935;LateAircraft;12
936;Carrier;51
