N493AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N077AA;;;;
N083AA;;;;
N387AA;;;;
N359AA;1988;BOEING;767-323;Turbo-Fan
N064AA;;;;
N5EXAA;;;;
N394AA;2007;AVIAT AIRCRAFT INC;A-1B;Reciprocating
N765AS;1992;BOEING;737-4Q8;Turbo-Jet
N762AS;1992;BOEING;737-4Q8;Turbo-Jet
N596AS;;BOEING;737-890;Turbo-Fan
N508AS;;;;
N506AS;;;;
N565AS;2006;BOEING;737-890;Turbo-Fan
N553AS;2006;BOEING;737-890;Turbo-Fan
N568AS;2007;BOEING;737-890;Turbo-Fan
N594AS;2008;BOEING;737-890;Turbo-Fan
N513AS;;;;
N548AS;2005;BOEING;737-890;Turbo-Fan
N588AS;2007;BOEING;737-890;Turbo-Fan
N564AS;2006;BOEING;737-890;Turbo-Fan
N592AS;2008;BOEING;737-890;Turbo-Fan
N590AS;;BOEING;737-890;Turbo-Fan
N566AS;2007;BOEING;737-890;Turbo-Fan
N569AS;2007;BOEING;737-890;Turbo-Fan
N562AS;2006;BOEING;737-890;Turbo-Fan
N556AS;2006;BOEING;737-890;Turbo-Fan
N552AS;2006;BOEING;737-890;Turbo-Fan
N589AS;2007;BOEING;737-890;Turbo-Fan
N558AS;2006;BOEING;737-890;Turbo-Fan
N323AS;2004;BOEING;737-990;Turbo-Jet
N593AS;2008;BOEING;737-890;Turbo-Fan
N586AS;2007;BOEING;737-890;Turbo-Fan
N549AS;2005;BOEING;737-8FH;Turbo-Jet
N560AS;2006;BOEING;737-890;Turbo-Fan
N581AS;2007;BOEING;737-890;Turbo-Fan
N563AS;2006;BOEING;737-890;Turbo-Fan
N305AS;2001;BOEING;737-990;Turbo-Jet
N317AS;2003;BOEING;737-990;Turbo-Jet
N546AS;2005;BOEING;737-890;Turbo-Fan
N306AS;2001;BOEING;737-990;Turbo-Jet
N796AS;1998;BOEING;737-490;Turbo-Jet
N763AS;1992;BOEING;737-4Q8;Turbo-Jet
N799AS;1998;BOEING;737-490;Turbo-Jet
N772AS;1993;BOEING;737-4Q8;Turbo-Jet
N768AS;1992;BOEING;737-490;Turbo-Jet
N775AS;1993;BOEING;737-4Q8;Turbo-Jet
N627AS;2001;BOEING;737-790;Turbo-Jet
N794AS;1998;BOEING;737-490;Turbo-Jet
N774AS;1993;BOEING;737-4Q8;Turbo-Jet
N764AS;1992;BOEING;737-4Q8;Turbo-Jet
N769AS;1993;BOEING;737-4Q8;Turbo-Jet
N783AS;1994;BOEING;737-4Q8;Turbo-Jet
N705AS;1998;BOEING;737-490;Turbo-Jet
N756AS;1992;BOEING;737-4Q8;Turbo-Jet
N784AS;1996;BOEING;737-4Q8;Turbo-Jet
N793AS;1998;BOEING;737-490;Turbo-Jet
N708AS;1999;BOEING;737-490;Turbo-Jet
N613AS;1999;BOEING;737-790;Turbo-Jet
N617AS;2000;BOEING;737-790;Turbo-Jet
N703AS;1998;BOEING;737-490;Turbo-Jet
N771AS;1993;BOEING;737-4Q8;Turbo-Jet
N579AS;2007;BOEING;737-890;Turbo-Fan
N551AS;2006;BOEING;737-890;Turbo-Fan
N614AS;1999;BOEING;737-790;Turbo-Jet
N309AS;2001;BOEING;737-990;Turbo-Jet
N791AS;1997;BOEING;737-490;Turbo-Jet
N587AS;;BOEING;737-890;Turbo-Fan
N570AS;2007;BOEING;737-890;Turbo-Fan
N597AS;;;;
N559AS;2006;BOEING;737-890;Turbo-Fan
N315AS;2002;BOEING;737-990;Turbo-Jet
N318AS;2003;BOEING;737-990;Turbo-Jet
N755AS;1992;BOEING;737-4Q8;Turbo-Jet
N302AS;2003;BOEING;737-990;Turbo-Jet
N514AS;;;;
N307AS;2001;BOEING;737-990;Turbo-Jet
N303AS;2001;BOEING;737-990;Turbo-Jet
N797AS;1998;BOEING;737-490;Turbo-Jet
N713AS;1999;BOEING;737-490;Turbo-Jet
N773AS;1993;BOEING;737-4Q8;Turbo-Jet
N583AS;2007;BOEING;737-890;Turbo-Fan
N585AS;2007;BOEING;737-890;Turbo-Fan
N557AS;2006;BOEING;737-890;Turbo-Fan
N754AS;1992;BOEING;737-4Q8;Turbo-Jet
N776AS;1994;BOEING;737-4Q8;Turbo-Jet
N786AS;1990;BOEING;737-4S3;Turbo-Jet
N779AS;1994;BOEING;737-4Q8;Turbo-Jet
N612AS;1999;BOEING;737-790;Turbo-Jet
N785AS;1997;BOEING;737-4Q8;Turbo-Jet
N778AS;1994;BOEING;737-4Q8;Turbo-Jet
N320AS;2003;BOEING;737-990;Turbo-Jet
N788AS;1997;BOEING;737-490;Turbo-Jet
N706AS;1998;BOEING;737-490;Turbo-Jet
N512AS;;;;
N792AS;1997;BOEING;737-490;Turbo-Jet
N618AS;2000;BOEING;737-790;Turbo-Jet
N626AS;2001;BOEING;737-790;Turbo-Jet
N607AS;1999;BOEING;737-790;Turbo-Jet
N611AS;1999;BOEING;737-790;Turbo-Jet
N644AS;2003;BOEING;737-790;Turbo-Jet
N619AS;2000;BOEING;737-790;Turbo-Jet
N615AS;2000;BOEING;737-790;Turbo-Jet
N625AS;2001;BOEING;737-790;Turbo-Jet
